<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1998.08.13	145.960	147.200	144.530	144.950	10466	0	50
1998.08.14	144.670	146.480	144.300	146.480	10407	0	50
1998.08.17	146.320	146.950	145.600	146.170	10098	0	50
1998.08.18	146.100	146.500	144.630	144.710	11753	0	50
1998.08.19	144.400	145.050	143.600	143.930	11204	0	50
1998.08.20	143.950	144.250	141.470	143.090	11088	0	50
1998.08.21	143.100	145.450	142.550	144.630	9899	0	50
1998.08.24	144.850	145.280	143.500	143.600	10498	0	50
1998.08.25	143.650	145.120	143.250	144.280	12016	0	50
1998.08.26	144.350	144.920	143.850	144.090	10809	0	50
1998.08.27	144.300	144.300	141.720	142.180	9190	0	50
1998.08.28	142.110	144.500	140.000	141.800	9556	0	50
1998.08.31	141.550	142.570	139.000	139.130	6141	0	50
1998.09.01	139.160	139.950	134.930	136.740	8133	0	50
1998.09.02	136.650	138.500	136.600	138.200	9476	0	50
1998.09.03	138.220	138.490	133.790	134.040	10032	0	50
1998.09.04	133.950	136.040	132.800	133.570	9307	0	50
1998.09.07	134.500	134.700	130.550	131.730	9706	0	50
1998.09.08	131.720	133.150	131.100	132.040	7549	0	50
1998.09.09	131.700	138.600	130.450	136.000	8880	0	50
1998.09.10	136.050	136.100	133.750	134.090	8581	0	50
1998.09.11	135.100	135.100	129.100	130.680	9299	0	50
1998.09.14	131.540	133.510	130.900	132.350	14193	0	50
1998.09.15	132.590	134.350	132.350	134.140	15593	0	50
1998.09.16	134.080	135.850	133.790	134.170	16219	0	50
1998.09.17	134.400	134.810	131.670	131.970	15393	0	50
1998.09.18	131.800	133.140	131.000	132.660	14818	0	50
1998.09.21	133.470	134.670	132.320	134.550	14706	0	50
1998.09.22	134.530	136.150	134.050	135.730	13371	0	50
1998.09.23	135.570	136.980	135.220	135.450	10850	0	50
1998.09.24	135.400	137.250	134.600	134.970	14718	0	50
1998.09.25	134.940	136.550	133.300	136.170	15148	0	50
1998.09.28	135.940	136.930	134.900	135.310	15395	0	50
1998.09.29	135.860	136.480	133.350	134.310	15507	0	50
1998.09.30	134.260	136.870	133.900	136.490	12872	0	50
1998.10.01	136.490	136.930	135.010	135.800	13604	0	50
1998.10.02	135.790	135.900	133.010	135.550	13104	0	50
1998.10.05	135.250	136.050	134.050	134.220	11154	0	50
1998.10.06	134.020	134.300	129.910	130.350	13358	0	50
1998.10.07	130.300	130.800	118.850	121.980	16163	0	50
1998.10.08	122.000	123.550	111.650	118.280	17494	0	50
1998.10.09	118.470	119.900	115.220	116.650	15636	0	50
1998.10.12	117.310	118.600	115.000	117.430	11784	0	50
1998.10.13	117.450	120.470	117.450	119.100	16894	0	50
1998.10.14	119.190	120.100	118.330	118.670	16893	0	50
1998.10.15	118.670	119.200	115.460	115.800	18705	0	50
1998.10.16	115.960	116.800	113.500	115.270	16364	0	50
1998.10.19	115.600	115.880	113.760	114.380	15164	0	50
1998.10.20	114.360	118.460	114.300	115.780	15854	0	50
1998.10.21	115.840	117.600	115.300	117.160	12449	0	50
1998.10.22	117.300	118.900	117.100	117.420	12481	0	50
1998.10.23	117.280	119.590	117.240	118.070	14443	0	50
1998.10.26	118.750	119.500	118.090	119.470	12977	0	50
1998.10.27	119.490	119.850	117.700	118.280	12631	0	50
1998.10.28	118.350	118.550	116.660	117.800	13386	0	50
1998.10.29	117.820	118.080	115.830	116.980	14017	0	50
1998.10.30	117.030	117.240	114.990	115.800	12945	0	50
1998.11.02	115.320	116.200	114.400	114.930	13375	0	50
1998.11.03	114.890	116.230	114.700	115.150	11693	0	50
1998.11.04	115.150	117.480	115.100	116.980	11366	0	50
1998.11.05	116.950	118.200	116.850	118.140	11375	0	50
1998.11.06	118.250	119.150	117.690	119.000	10093	0	50
1998.11.09	119.250	122.280	119.050	121.680	10041	0	50
1998.11.10	121.550	123.440	121.350	121.960	10085	0	50
1998.11.11	122.050	122.430	120.570	121.700	11303	0	50
1998.11.12	121.730	124.150	121.500	121.890	10635	0	50
1998.11.13	121.900	123.000	121.000	122.900	10881	0	50
1998.11.16	122.230	122.670	119.550	120.540	9607	0	50
1998.11.17	120.490	122.300	119.710	121.190	10190	0	50
1998.11.18	121.350	122.250	120.660	122.200	11126	0	50
1998.11.19	122.100	122.200	118.480	119.850	10036	0	50
1998.11.20	120.220	120.930	118.770	120.350	9448	0	50
1998.11.23	120.580	121.800	120.150	121.100	9005	0	50
1998.11.24	121.190	122.030	120.270	121.290	12856	0	50
1998.11.25	121.290	122.080	120.200	121.810	14715	0	50
1998.11.26	121.770	122.720	121.300	122.430	12267	0	50
1998.11.27	122.490	123.600	122.200	123.040	14318	0	50
1998.11.30	123.240	124.100	122.400	122.960	12914	0	50
1998.12.01	122.900	123.250	121.580	121.950	14191	0	50
1998.12.02	121.920	122.200	119.780	120.080	13363	0	50
1998.12.03	120.100	120.730	117.480	117.840	14334	0	50
1998.12.04	117.780	119.480	117.300	118.930	13988	0	50
1998.12.07	118.550	120.330	118.170	120.030	14179	0	50
1998.12.08	120.010	120.550	118.880	119.070	12757	0	50
1998.12.09	119.090	119.500	116.860	118.180	14982	0	50
1998.12.10	118.150	118.400	116.600	117.360	15448	0	50
1998.12.11	117.350	118.120	116.200	116.250	14517	0	50
