<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2001.08.29	1.53910	1.54670	1.53760	1.54580	4157	0	50
2001.08.30	1.54540	1.54740	1.54350	1.54470	4620	0	50
2001.08.31	1.54500	1.55200	1.54140	1.55120	5311	0	50
2001.09.03	1.54950	1.55210	1.54870	1.55070	2696	0	50
2001.09.04	1.55110	1.56120	1.54570	1.55890	4766	0	50
2001.09.05	1.55860	1.56390	1.55500	1.55650	4449	0	50
2001.09.06	1.55650	1.56000	1.55390	1.55730	4942	0	50
2001.09.07	1.55700	1.56850	1.55600	1.56560	4954	0	50
2001.09.10	1.56570	1.57020	1.56170	1.56310	5172	0	50
2001.09.11	1.56320	1.57270	1.55850	1.56430	5638	0	50
2001.09.12	1.56450	1.56660	1.55670	1.56240	4195	0	50
2001.09.13	1.56300	1.56940	1.56020	1.56640	4831	0	50
2001.09.14	1.56590	1.57080	1.56280	1.56430	5137	0	50
2001.09.17	1.56360	1.57100	1.56330	1.56970	5342	0	50
2001.09.18	1.56970	1.57370	1.56870	1.57280	4925	0	50
2001.09.19	1.57270	1.57420	1.56620	1.56910	4976	0	50
2001.09.20	1.56950	1.57290	1.56590	1.57120	4605	0	50
2001.09.21	1.57140	1.57190	1.56230	1.57130	5857	0	50
2001.09.24	1.57120	1.57210	1.56670	1.57070	3599	0	50
2001.09.25	1.57070	1.57190	1.56570	1.57040	4085	0	50
2001.09.26	1.57030	1.57510	1.56910	1.57200	4093	0	50
2001.09.27	1.57210	1.57950	1.57120	1.57800	4362	0	50
2001.09.28	1.57790	1.58120	1.57520	1.57920	4023	0	50
2001.10.01	1.57870	1.58000	1.57170	1.57350	3903	0	50
2001.10.02	1.57340	1.57520	1.56660	1.56770	4737	0	50
2001.10.03	1.56780	1.56960	1.56550	1.56860	3521	0	50
2001.10.04	1.56850	1.56960	1.56490	1.56880	3656	0	50
2001.10.05	1.56900	1.57190	1.56070	1.56200	4050	0	50
2001.10.08	1.56280	1.56430	1.55980	1.56120	3014	0	50
2001.10.09	1.56110	1.56750	1.55760	1.56550	4118	0	50
2001.10.10	1.56610	1.56940	1.56180	1.56770	4088	0	50
2001.10.11	1.56770	1.57030	1.56350	1.56510	4545	0	50
2001.10.12	1.56520	1.56850	1.56090	1.56280	4443	0	50
2001.10.15	1.56240	1.56280	1.55540	1.55810	3828	0	50
2001.10.16	1.55800	1.56600	1.55720	1.56520	4802	0	50
2001.10.17	1.56490	1.57090	1.56270	1.57050	4197	0	50
2001.10.18	1.57040	1.58010	1.56870	1.57810	4778	0	50
2001.10.19	1.57820	1.57900	1.57360	1.57450	4003	0	50
2001.10.22	1.57540	1.58060	1.57390	1.57820	3514	0	50
2001.10.23	1.57840	1.58050	1.56970	1.57230	4627	0	50
2001.10.24	1.57240	1.57710	1.57020	1.57420	4744	0	50
2001.10.25	1.57420	1.57850	1.57260	1.57380	4376	0	50
2001.10.26	1.57360	1.57830	1.57250	1.57650	4363	0	50
2001.10.29	1.57620	1.57800	1.57320	1.57390	3761	0	50
2001.10.30	1.57380	1.58000	1.57340	1.57900	4537	0	50
2001.10.31	1.57920	1.58910	1.57800	1.58830	5119	0	50
2001.11.01	1.58820	1.59610	1.58750	1.59440	5028	0	50
2001.11.02	1.59460	1.59730	1.58960	1.59080	4537	0	50
2001.11.05	1.59110	1.59640	1.58930	1.59350	3272	0	50
2001.11.06	1.59300	1.59690	1.58910	1.59280	3789	0	50
2001.11.07	1.59240	1.59940	1.58890	1.59730	4277	0	50
2001.11.08	1.59720	1.59950	1.59480	1.59890	4247	0	50
2001.11.09	1.59910	1.60520	1.59700	1.60320	4210	0	50
2001.11.12	1.60280	1.60490	1.60050	1.60360	2047	0	50
2001.11.13	1.60340	1.60440	1.59290	1.59330	4381	0	50
2001.11.14	1.59320	1.59460	1.58760	1.59210	4295	0	50
2001.11.15	1.59230	1.59270	1.58560	1.59100	3685	0	50
2001.11.16	1.59050	1.59290	1.58640	1.59010	4197	0	50
2001.11.19	1.58880	1.59150	1.58240	1.59060	4722	0	50
2001.11.20	1.59050	1.59620	1.58960	1.59410	4454	0	50
2001.11.21	1.59420	1.60240	1.59380	1.60180	4252	0	50
2001.11.22	1.60210	1.60290	1.59820	1.59960	3274	0	50
2001.11.23	1.59920	1.60100	1.59590	1.59920	3086	0	50
2001.11.26	1.59910	1.60200	1.59720	1.59920	3869	0	50
2001.11.27	1.59890	1.59990	1.59120	1.59350	4438	0	50
2001.11.28	1.59340	1.59480	1.58310	1.58480	4127	0	50
2001.11.29	1.58460	1.58500	1.57890	1.58000	5402	0	50
2001.11.30	1.57960	1.57980	1.57020	1.57120	5572	0	50
2001.12.03	1.57340	1.57780	1.57200	1.57620	4293	0	50
2001.12.04	1.57630	1.57800	1.56930	1.57140	4160	0	50
2001.12.05	1.57150	1.57660	1.56990	1.57460	4021	0	50
2001.12.06	1.57440	1.57750	1.57070	1.57320	4307	0	50
2001.12.07	1.57310	1.57720	1.57140	1.57510	4499	0	50
2001.12.10	1.57500	1.57970	1.57440	1.57800	3416	0	50
2001.12.11	1.57820	1.57900	1.57140	1.57170	3311	0	50
2001.12.12	1.57180	1.57280	1.56390	1.56600	4085	0	50
2001.12.13	1.56650	1.57180	1.56400	1.56980	3301	0	50
2001.12.14	1.57060	1.57090	1.55830	1.56150	4341	0	50
2001.12.17	1.55890	1.56940	1.55840	1.56900	4823	0	50
2001.12.18	1.56880	1.57530	1.56570	1.57420	5126	0	50
2001.12.19	1.57450	1.57780	1.57190	1.57510	4757	0	50
2001.12.20	1.57530	1.58000	1.57350	1.57910	4138	0	50
2001.12.21	1.57900	1.58670	1.57820	1.58600	4506	0	50
2001.12.24	1.58550	1.60550	1.58460	1.59490	5612	0	50
2001.12.25	1.59500	1.59630	1.59310	1.59480	148	0	50
2001.12.26	1.59520	1.60190	1.59360	1.60090	2658	0	50
2001.12.27	1.60120	1.60430	1.59260	1.59830	6094	0	50
2001.12.28	1.59760	1.59890	1.58920	1.59050	5431	0	50
2001.12.31	1.59020	1.59780	1.58830	1.59330	3620	0	50
2002.01.01	1.59340	1.59530	1.59140	1.59220	66	0	60
2002.01.02	1.59260	1.59950	1.59060	1.59700	4504	0	60
2002.01.03	1.59700	1.59870	1.59130	1.59780	4845	0	60
2002.01.04	1.59830	1.59940	1.59460	1.59550	3863	0	60
2002.01.07	1.59490	1.60100	1.59290	1.59750	3453	0	60
2002.01.08	1.59780	1.60260	1.59330	1.59580	4372	0	60
2002.01.09	1.59580	1.59790	1.59320	1.59670	4554	0	60
2002.01.10	1.59680	1.60490	1.59600	1.59740	5800	0	60
2002.01.11	1.59740	1.60200	1.59470	1.59580	4624	0	60
2002.01.14	1.59570	1.59870	1.59370	1.59460	4109	0	60
2002.01.15	1.59500	1.59520	1.58650	1.58850	4694	0	60
2002.01.16	1.58850	1.59960	1.58760	1.59890	4883	0	60
2002.01.17	1.59870	1.61680	1.59730	1.61210	5921	0	60
2002.01.18	1.61220	1.61570	1.60960	1.61370	5366	0	60
2002.01.21	1.61830	1.61900	1.61020	1.61130	4007	0	60
2002.01.22	1.61150	1.61450	1.60670	1.60930	5340	0	60
2002.01.23	1.60950	1.61150	1.60020	1.60060	4987	0	60
2002.01.24	1.60050	1.60430	1.59910	1.60340	5103	0	60
2002.01.25	1.60370	1.61270	1.60200	1.60800	5043	0	60
2002.01.28	1.61180	1.61370	1.59670	1.59850	4402	0	60
2002.01.29	1.59800	1.59950	1.58370	1.59380	6399	0	60
2002.01.30	1.59350	1.59530	1.58570	1.58820	4929	0	60
2002.01.31	1.58810	1.59570	1.58260	1.58930	5402	0	60
2002.02.01	1.58960	1.59350	1.58770	1.59130	4649	0	60
2002.02.04	1.59000	1.59810	1.58950	1.59800	3803	0	60
2002.02.05	1.59760	1.60050	1.59600	1.59670	3916	0	60
2002.02.06	1.59650	1.60880	1.59650	1.60800	4738	0	60
2002.02.07	1.60780	1.60880	1.59750	1.59990	4798	0	60
2002.02.08	1.60000	1.60210	1.59360	1.59930	4065	0	60
2002.02.11	1.59800	1.59940	1.58800	1.59020	3829	0	60
2002.02.12	1.59050	1.59440	1.58850	1.59140	3366	0	60
2002.02.13	1.59140	1.59600	1.58930	1.58950	3485	0	60
2002.02.14	1.59010	1.59370	1.58670	1.59210	4094	0	60
2002.02.15	1.59170	1.59350	1.58850	1.59020	3716	0	60
2002.02.18	1.59010	1.59470	1.58980	1.59300	1990	0	60
2002.02.19	1.59270	1.59430	1.58550	1.58980	5202	0	60
2002.02.20	1.59000	1.59180	1.58700	1.58910	4237	0	60
2002.02.21	1.58910	1.59270	1.58730	1.59050	4094	0	60
2002.02.22	1.59060	1.59810	1.59020	1.59640	4573	0	60
2002.02.25	1.59700	1.60290	1.59570	1.60250	4379	0	60
2002.02.26	1.60250	1.61250	1.60210	1.61020	4907	0	60
2002.02.27	1.61020	1.61160	1.60480	1.60820	4765	0	60
2002.02.28	1.60820	1.60980	1.60060	1.60110	4222	0	60
2002.03.01	1.60120	1.60330	1.59110	1.59250	4706	0	60
2002.03.04	1.59260	1.59390	1.58760	1.59090	3964	0	60
2002.03.05	1.59080	1.59210	1.58650	1.58770	4259	0	60
2002.03.06	1.58740	1.58900	1.58000	1.58130	4420	0	60
2002.03.07	1.58120	1.58460	1.57710	1.58370	4501	0	60
2002.03.08	1.58410	1.58750	1.58290	1.58670	4749	0	60
2002.03.11	1.58610	1.58800	1.58130	1.58300	3581	0	60
2002.03.12	1.58290	1.58750	1.58170	1.58640	3582	0	60
2002.03.13	1.58620	1.59880	1.58460	1.59530	4163	0	60
2002.03.14	1.59520	1.59790	1.58970	1.59220	4771	0	60
2002.03.15	1.59210	1.59360	1.58260	1.58270	4753	0	60
2002.03.18	1.58350	1.58820	1.58310	1.58420	4127	0	60
2002.03.19	1.58380	1.58600	1.58000	1.58530	4344	0	60
2002.03.20	1.58540	1.58560	1.57770	1.57930	5599	0	60
2002.03.21	1.57960	1.58300	1.57710	1.57820	5263	0	60
2002.03.22	1.57800	1.57930	1.57400	1.57720	5344	0	60
2002.03.25	1.57750	1.58650	1.57690	1.58390	4678	0	60
2002.03.26	1.58370	1.59490	1.58130	1.59110	6068	0	60
2002.03.27	1.59100	1.59660	1.58700	1.59470	4730	0	60
2002.03.28	1.59480	1.59780	1.59160	1.59260	4994	0	60
2002.03.29	1.59240	1.59580	1.59160	1.59490	1060	0	60
2002.04.01	1.59540	1.60250	1.59400	1.59720	3293	0	60
2002.04.02	1.59730	1.60130	1.59110	1.59300	5894	0	60
2002.04.03	1.59280	1.59390	1.58740	1.59000	4974	0	60
2002.04.04	1.58980	1.59510	1.58850	1.59410	4041	0	60
2002.04.05	1.59400	1.59640	1.58760	1.58830	4299	0	60
2002.04.08	1.58880	1.59720	1.58700	1.59560	3799	0	60
2002.04.09	1.59560	1.59880	1.59230	1.59580	4345	0	60
2002.04.10	1.59570	1.59590	1.59060	1.59240	4257	0	60
2002.04.11	1.59240	1.59350	1.58610	1.58840	4651	0	60
2002.04.12	1.58850	1.58990	1.58500	1.58540	4507	0	60
2002.04.15	1.58520	1.59180	1.58440	1.58670	4066	0	60
2002.04.16	1.58680	1.58920	1.57900	1.58190	4436	0	60
2002.04.17	1.58180	1.58230	1.57150	1.57510	5544	0	60
2002.04.18	1.57500	1.57750	1.57210	1.57440	4774	0	60
2002.04.19	1.57470	1.57690	1.57040	1.57230	4033	0	60
2002.04.22	1.57180	1.57500	1.57020	1.57030	3296	0	60
2002.04.23	1.57040	1.57590	1.57020	1.57310	4346	0	60
2002.04.24	1.57300	1.57460	1.56610	1.56720	4352	0	60
2002.04.25	1.56770	1.56780	1.56200	1.56550	4306	0	60
